날짜,가격
2022년 02월 19일,"1,452,000"
2022년 02월 23일,"1,452,000"
2022년 02월 27일,"1,452,000"
2022년 03월 03일,"1,314,190"
2022년 03월 06일,"1,311,280"
2022년 03월 17일,"1,285,020"
2022년 03월 20일,"1,311,280"
2022년 09월 28일,"1,161,600"
2022년 10월 09일,"1,161,600"
2022년 10월 16일,"1,161,600"
2022년 10월 18일,"1,161,600"
2023년 01월 23일,"1,161,600"
2023년 01월 25일,"1,161,600"
2023년 05월 26일,"1,161,600"
2023년 05월 27일,"1,161,600"
2023년 05월 28일,"1,161,600"
2023년 05월 29일,"1,161,600"
2023년 05월 30일,"1,161,600"
2023년 05월 31일,"1,161,600"
