날짜,가격
2022년 02월 19일,"999,900"
2022년 02월 23일,"999,900"
2022년 02월 27일,"999,900"
2022년 03월 03일,"948,000"
2022년 03월 06일,"903,000"
2022년 03월 10일,"959,900"
2022년 03월 17일,"892,370"
2022년 03월 20일,"959,900"
2022년 03월 30일,"881,730"
2022년 04월 04일,"881,730"
2022년 04월 06일,"839,180"
2022년 04월 08일,"810,490"
2022년 04월 09일,"805,730"
2022년 04월 10일,"797,120"
2022년 04월 13일,"849,910"
2022년 04월 15일,"879,910"
2022년 04월 16일,"823,320"
2022년 04월 17일,"827,920"
2022년 04월 20일,"832,520"
2022년 04월 26일,"832,520"
2022년 04월 27일,"838,950"
2022년 04월 28일,"828,460"
2022년 05월 02일,"828,460"
2022년 05월 03일,"838,460"
2022년 05월 05일,"829,000"
2022년 05월 07일,"789,930"
2022년 05월 09일,"808,920"
2022년 05월 10일,"788,000"
2022년 05월 25일,"788,000"
2022년 05월 28일,"859,910"
2022년 06월 01일,"859,910"
2022년 06월 09일,"837,160"
2022년 06월 10일,"799,920"
2022년 06월 11일,"841,920"
2022년 06월 14일,"819,910"
2022년 06월 16일,"832,360"
2022년 06월 19일,"799,920"
2022년 06월 21일,"832,360"
2022년 06월 22일,"809,920"
2022년 06월 27일,"813,630"
2022년 06월 28일,"813,630"
2022년 06월 29일,"813,630"
2022년 07월 01일,"799,920"
2022년 07월 04일,"799,920"
2022년 09월 19일,"849,920"
2022년 10월 17일,"849,920"
2022년 10월 23일,"849,920"
2023년 01월 14일,"828,930"
2023년 01월 21일,"818,830"
2023년 01월 24일,"827,730"
2023년 02월 02일,"839,910"
2023년 02월 08일,"839,910"
2023년 05월 29일,"839,910"
2023년 05월 30일,"839,910"
2023년 05월 31일,"839,910"
