날짜,가격
2023년 02월 16일,"1,353,000"
2023년 02월 24일,"1,190,640"
2023년 03월 07일,"1,190,640"
2023년 03월 15일,"1,163,580"
2023년 04월 16일,"1,160,030"
2023년 04월 19일,"1,160,450"
2023년 04월 21일,"1,162,970"
2023년 04월 23일,"1,105,290"
2023년 04월 24일,"1,158,980"
2023년 04월 26일,"1,132,310"
2023년 04월 27일,"1,162,970"
2023년 05월 01일,"1,140,300"
2023년 05월 04일,"1,091,400"
2023년 05월 07일,"1,150,050"
2023년 05월 14일,"1,150,050"
2023년 05월 16일,"1,150,050"
2023년 05월 28일,"1,150,050"
2023년 05월 29일,"1,150,050"
2023년 05월 30일,"1,201,950"
2023년 05월 31일,"1,150,050"
