날짜,가격
2022년 09월 29일,"1,500,000"
2022년 10월 25일,"1,470,000"
2022년 11월 01일,"1,424,960"
2022년 11월 10일,"1,390,980"
2022년 11월 18일,"1,385,370"
2022년 11월 25일,"1,385,970"
2022년 12월 07일,"1,395,000"
2022년 12월 15일,"1,385,360"
2022년 12월 23일,"1,394,990"
2022년 12월 30일,"1,392,690"
2023년 02월 02일,"1,440,000"
2023년 02월 07일,"1,425,000"
2023년 02월 16일,"1,440,000"
2023년 03월 15일,"1,455,000"
2023년 03월 23일,"1,320,000"
2023년 04월 19일,"1,411,200"
2023년 04월 21일,"1,320,000"
2023년 04월 29일,"1,311,000"
2023년 05월 04일,"1,320,000"
2023년 05월 11일,"1,275,000"
2023년 05월 17일,"1,320,000"
2023년 05월 20일,"1,320,000"
2023년 05월 23일,"1,320,000"
2023년 05월 24일,"1,320,000"
2023년 05월 25일,"1,320,000"
2023년 05월 26일,"1,320,000"
2023년 05월 28일,"1,320,000"
2023년 05월 29일,"1,380,000"
2023년 05월 30일,"1,377,500"
2023년 05월 31일,"1,377,500"
