날짜,가격
2022년 10월 06일,"1,900,000"
2022년 10월 25일,"1,900,000"
2022년 11월 01일,"1,900,000"
2022년 12월 23일,"1,881,000"
2022년 12월 30일,"1,900,000"
2023년 02월 02일,"1,748,000"
2023년 02월 16일,"1,769,000"
2023년 02월 24일,"1,767,000"
2023년 03월 23일,"1,739,100"
2023년 03월 30일,"1,748,400"
2023년 04월 05일,"1,748,400"
2023년 04월 13일,"1,766,800"
2023년 04월 19일,"1,744,620"
2023년 04월 24일,"1,730,520"
2023년 04월 26일,"1,748,000"
2023년 04월 28일,"1,730,520"
2023년 04월 29일,"1,767,000"
2023년 05월 09일,"1,615,000"
2023년 05월 17일,"1,767,000"
2023년 05월 20일,"1,767,000"
2023년 05월 23일,"1,765,000"
2023년 05월 24일,"1,718,400"
2023년 05월 25일,"1,765,000"
2023년 05월 26일,"1,765,000"
2023년 05월 28일,"1,765,000"
2023년 05월 29일,"1,718,400"
2023년 05월 30일,"1,718,400"
2023년 05월 31일,"1,718,400"
