날짜,가격
2022년 10월 06일,"1,700,000"
2022년 10월 28일,"1,628,600"
2022년 10월 30일,"1,700,000"
2022년 11월 01일,"1,700,000"
2022년 12월 10일,"1,700,000"
2022년 12월 23일,"1,700,000"
2022년 12월 28일,"1,683,000"
2022년 12월 30일,"1,598,000"
2023년 01월 20일,"1,598,000"
2023년 01월 23일,"1,598,000"
2023년 02월 02일,"1,564,000"
2023년 02월 16일,"1,589,000"
2023년 02월 24일,"1,580,000"
2023년 03월 07일,"1,589,000"
2023년 03월 15일,"1,572,000"
2023년 03월 23일,"1,547,000"
2023년 03월 30일,"1,581,000"
2023년 04월 05일,"1,530,000"
2023년 04월 17일,"1,529,780"
2023년 04월 18일,"1,530,000"
2023년 04월 29일,"1,516,800"
2023년 05월 05일,"1,513,400"
2023년 05월 09일,"1,445,000"
2023년 05월 11일,"1,530,000"
2023년 05월 12일,"1,445,000"
2023년 05월 17일,"1,530,000"
2023년 05월 20일,"1,581,000"
2023년 05월 23일,"1,541,600"
2023년 05월 24일,"1,547,000"
2023년 05월 25일,"1,519,700"
2023년 05월 26일,"1,547,000"
2023년 05월 28일,"1,547,000"
2023년 05월 29일,"1,547,000"
2023년 05월 30일,"1,555,500"
2023년 05월 31일,"1,555,500"
