날짜,가격
2022년 10월 14일,"1,400,000"
2022년 10월 25일,"1,372,000"
2022년 11월 01일,"1,315,650"
2022년 11월 18일,"1,315,960"
2022년 11월 25일,"1,315,970"
2022년 12월 07일,"1,316,000"
2022년 12월 23일,"1,315,840"
2022년 12월 30일,"1,311,970"
2023년 01월 17일,"1,311,970"
2023년 02월 02일,"1,316,000"
2023년 02월 07일,"1,311,970"
2023년 02월 16일,"1,316,000"
2023년 02월 24일,"1,329,000"
2023년 03월 15일,"1,274,000"
2023년 04월 19일,"1,278,400"
2023년 04월 21일,"1,274,000"
2023년 05월 01일,"1,260,000"
2023년 05월 04일,"1,250,200"
2023년 05월 05일,"1,254,250"
2023년 05월 09일,"1,260,000"
2023년 05월 11일,"1,149,860"
2023년 05월 17일,"1,232,000"
2023년 05월 18일,"1,190,000"
2023년 05월 20일,"1,222,000"
2023년 05월 21일,"1,288,000"
2023년 05월 23일,"1,222,000"
2023년 05월 27일,"1,222,000"
2023년 05월 28일,"1,222,000"
2023년 05월 29일,"1,222,000"
2023년 05월 30일,"1,222,000"
2023년 05월 31일,"1,222,000"
