Spec,S23 Ultra,S23+,S23,Z플립 4,Z 폴드 4,iPhone 14,iPhone 14 Plus,iPhone 14Pro,iPhone 14ProMax
출고가,"1,599,400 ~","1,353,000 ~","1,155,000 ~","1,353,000 ~","1,998,700 ~","1,250,000 ~","1,350,000 ~","1,550,000 ~","1,750,000 ~"
크기,78.1 x 163.4 x 8.9 mm,76.2 x 157.8 x 7.6 mm,70.9 x 146.3 x 7.6 mm,71.9 x 165.2 x 6.9mm,155.1 x 130.1 x 6.3 mm,71.5 x 146.7 x 7.4mm,71.5 x 160.8 x 7.8mm,71.5 x 147.5 x 7.85 mm,77.6 x 160.7 x 7.85mm
무게,233g,195g,168g,187g,263g,172g,203g,206g,240g
디스플레이,6.8인치,6.6인치,6.1인치,6.7인치,7.6인치,6.1인치,6.7인치,6.1인치,6.7인치
프로세서,Snapdragon 8 gen 2,Snapdragon 8 gen 2,Snapdragon 8 gen 2,Snapdragon 8 gen 1,Snapdragon 8 gen 1,A15 Bionic,A15 Bionic,A16 Bionic,A16 Bionic
RAM,12GB,8GB,8GB,8GB,12GB,6GB,6GB,6GB,6GB
후면 초광각,1200만 화소,1200만 화소,1200만 화소,1200만 화소,1200만 화소,1200만 화소,1200만 화소,1200만 화소,1200만 화소
후면 광각,2억 화소,5000만 화소,5000만 화소,1200만 화소,5000만 화소,1200만 화소,1200만 화소,4800만 화소,4800만 화소
후면 망원,1000만 화소,1000만 화소,1000만 화소,-,1000만 화소 ,-,-,1200만 화소,1200만 화소
전면카메라,1200만 화소,1200만 화소,1200만 화소,1000만 화소,400만 화소,1200만 화소,1200만 화소,1200만 화소,1200만 화소
배터리(mAh),5000,4700,3900,3700,4400,3279,4325,3200,4323
충전,45W,45W,25W,25W,25W,25W,29W,25W,29W
방수방진,IP68,IP68,IP68,IPX8,,IP68,IP68,IP68,IP68
S펜,내장형,미지원,미지원,미지원,지원,미지원,미지원,미지원,미지원
